holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689
None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309
None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104
None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713
None,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907
None,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537
None,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403
None,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870
None,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128
None,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384
None,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832
None,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
None,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258
None,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669
None,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153
None,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362
None,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941
None,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508
None,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568
None,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429
None,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015
None,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959
None,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563
None,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832
None,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648
None,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502
None,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259
None,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917
None,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733
None,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599
None,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067
None,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460
None,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947
None,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875
None,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680
None,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680
None,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030
None,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775
None,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037
None,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809
None,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291
None,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818
None,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949
None,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284
None,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586
None,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230
None,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526
None,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889
None,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257
None,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897
None,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420
None,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546
None,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623
None,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483
None,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221
None,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,1931
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,861
None,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685
None,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685
None,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685
None,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076
None,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076
None,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076
None,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,4342
None,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,4342
None,284.4,0.0,0.0,93,Mist,mist,2012-10-14 18:00:00,4080
None,281.95,0.0,0.0,93,Mist,mist,2012-10-14 23:00:00,1002
None,281.95,0.0,0.0,93,Fog,fog,2012-10-14 23:00:00,1002
